strain	cluster	location	date
USA/WA-UW-22517/2020	195	South_King_County	2020-08-04
USA/WA-S2878/2020	196	South_King_County	2020-09-26
USA/WA-S5008/2020	197	North_King_County	2020-10-30
USA/WA-S5009/2020	197	North_King_County	2020-10-30
USA/WA-S3290/2020	198	North_King_County	2020-11-06
USA/WA-UW-27500/2020	199	South_King_County	2020-09-03
USA/WA-UW-32886/2020	199	South_King_County	2020-10-17
USA/WA-S5005/2020	199	North_King_County	2020-10-27
USA/WA-S5034/2020	199	South_King_County	2020-11-09
USA/WA-S4674/2020	199	South_King_County	2020-11-12
USA/WA-S4399/2020	199	North_King_County	2020-11-15
USA/WA-S3744/2020	199	South_King_County	2020-12-22
USA/WA-S4119/2020	199	North_King_County	2020-11-17
USA/WA-S4161/2020	199	North_King_County	2020-11-27
USA/WA-S4162/2020	199	North_King_County	2020-11-27
USA/WA-S4460/2021	200	South_King_County	2021-01-15
USA/WA-S2833/2020	201	North_King_County	2020-09-09
USA/WA-S5012/2020	202	South_King_County	2020-10-30
USA/WA-S5010/2020	202	South_King_County	2020-10-30
USA/WA-UW-61215/2021	203	North_King_County	2021-02-04
USA/WA-UW-23606/2020	204	North_King_County	2020-08-10
USA/WA-UW-61273/2021	205	North_King_County	2021-02-02
USA/WA-UW-22339/2020	206	South_King_County	2020-08-05
USA/WA-CDC-LC0013209/2021	207	South_King_County	2021-02-01
USA/WA-UW-60034/2021	207	South_King_County	2021-01-21
USA/WA-S4548/2021	207	South_King_County	2021-01-26
USA/WA-UW-45111/2020	208	North_King_County	2020-12-08
USA/WA-S3695/2021	208	South_King_County	2021-01-09
USA/WA-S3487/2020	208	South_King_County	2020-12-01
USA/WA-UW-47365/2020	208	North_King_County	2020-12-12
USA/WA-UW-47393/2020	208	South_King_County	2020-12-10
USA/WA-UW-45097/2020	208	North_King_County	2020-12-08
USA/WA-UW-45095/2020	208	North_King_County	2020-12-08
USA/WA-UW-6244/2020	209	North_King_County	2020-04-02
USA/WA-UW153/2020	210	North_King_County	2020-03-13
USA/WA-UW-1806/2020	210	North_King_County	2020-03-22
USA/WA-UW-4731/2020	210	South_King_County	2020-03-30
USA/WA-UW-5369/2020	210	North_King_County	2020-04-05
USA/WA-UW-8437/2020	211	South_King_County	2020-04-30
USA/WA-UW-8527/2020	211	South_King_County	2020-05-04
USA/WA-UW-9214/2020	211	South_King_County	2020-05-14
USA/WA-UW-9227/2020	211	South_King_County	2020-05-14
USA/WA-UW-6688/2020	212	North_King_County	2020-04-11
USA/WA-UW-2679/2020	213	North_King_County	2020-04-22
USA/WA-UW-12361/2020	213	North_King_County	2020-06-27
USA/WA-UW-8046/2020	214	South_King_County	2020-04-24
USA/WA-UW-3918/2020	215	North_King_County	2020-03-27
USA/WA-UW-1831/2020	215	South_King_County	2020-03-22
USA/WA-UW-6178/2020	215	South_King_County	2020-04-01
USA/WA-UW-1309/2020	215	North_King_County	2020-03-17
USA/WA-UW-8008/2020	216	South_King_County	2020-04-23
USA/WA-UW-1994/2020	217	South_King_County	2020-03-24
USA/WA-UW-1890/2020	217	North_King_County	2020-03-24
USA/WA-S480/2020	218	North_King_County	2020-04-05
USA/WA-UW-6335/2020	219	South_King_County	2020-04-02
USA/WA-S690/2020	220	North_King_County	2020-04-08
USA/WA-S1162/2020	221	North_King_County	2020-05-05
USA/WA-UW-4917/2020	222	South_King_County	2020-04-07
USA/WA-UW-2737/2020	223	South_King_County	2020-04-22
USA/WA-UW-8065/2020	223	South_King_County	2020-04-24
USA/WA-S618/2020	223	South_King_County	2020-04-26
USA/WA-S619/2020	223	South_King_County	2020-04-26
USA/WA-S621/2020	223	South_King_County	2020-04-27
USA/WA-S1484/2020	223	South_King_County	2020-05-01
USA/WA-UW-9362/2020	224	South_King_County	2020-05-15
USA/WA-UW-13874/2020	225	North_King_County	2020-07-06
USA/WA-UW-6502/2020	226	South_King_County	2020-04-03
USA/WA-UW-5617/2020	227	North_King_County	2020-04-08
USA/WA-UW-10216/2020	228	South_King_County	2020-05-31
USA/WA-S2719/2020	229	South_King_County	2020-07-02
USA/WA-S2721/2020	229	South_King_County	2020-07-02
USA/WA-UW-22061/2020	229	South_King_County	2020-08-03
USA/WA-UW-23477/2020	229	South_King_County	2020-08-10
USA/WA-UW-22382/2020	230	South_King_County	2020-08-08
USA/WA-UW-11645/2020	231	South_King_County	2020-06-19
USA/WA-UW-10688/2020	232	South_King_County	2020-06-09
USA/WA-UW-4058/2020	233	South_King_County	2020-04-01
USA/WA-UW-1652/2020	233	South_King_County	2020-03-20
USA/WA-UW-4643/2020	234	North_King_County	2020-04-06
USA/WA-UW69/2020	235	South_King_County	2020-03-10
USA/WA-S146/2020	236	North_King_County	2020-03-14
USA/WA-UW-2963/2020	237	South_King_County	2020-03-26
USA/WA-UW-3340/2020	238	South_King_County	2020-03-26
USA/WA-UW-676/2020	239	North_King_County	2020-03-13
USA/WA-UW-608/2020	239	North_King_County	2020-03-13
USA/WA-UW-662/2020	239	North_King_County	2020-03-13
USA/WA-UW-1417/2020	240	South_King_County	2020-03-17
USA/WA-UW-7178/2020	241	North_King_County	2020-04-13
USA/WA-S634/2020	242	North_King_County	2020-04-17
USA/WA-UW-1956/2020	243	North_King_County	2020-03-24
USA/WA-UW-3489/2020	244	South_King_County	2020-03-27
USA/WA-UW-3269/2020	244	North_King_County	2020-03-27
USA/WA-UW-3490/2020	244	South_King_County	2020-03-27
USA/WA-UW-3493/2020	244	South_King_County	2020-03-27
USA/WA-UW-3401/2020	244	North_King_County	2020-03-27
USA/WA-UW-2872/2020	245	North_King_County	2020-03-29
USA/WA-UW-2074/2020	246	North_King_County	2020-03-25
USA/WA-UW-1651/2020	247	South_King_County	2020-03-20
USA/WA-UW-5194/2020	248	South_King_County	2020-04-01
USA/WA-UW-5170/2020	249	North_King_County	2020-04-02
USA/WA-S592/2020	249	South_King_County	2020-04-04
USA/WA-S589/2020	249	South_King_County	2020-04-04
USA/WA-UW-2215/2020	250	South_King_County	2020-03-25
USA/WA-UW-2875/2020	251	North_King_County	2020-03-29
USA/WA-UW-2936/2020	251	North_King_County	2020-03-29
USA/WA-UW-5158/2020	251	North_King_County	2020-04-02
USA/WA-S660/2020	252	North_King_County	2020-04-21
USA/WA-UW-8150/2020	253	North_King_County	2020-04-25
USA/WA-UW-1436/2020	254	North_King_County	2020-03-18
USA/WA-UW-1422/2020	254	South_King_County	2020-03-18
USA/WA-UW-4607/2020	255	South_King_County	2020-03-31
USA/WA-UW-5932/2020	256	South_King_County	2020-04-07
USA/WA-UW-4925/2020	257	North_King_County	2020-04-07
USA/WA-UW-5201/2020	258	North_King_County	2020-04-02
USA/WA-UW-6601/2020	259	South_King_County	2020-04-05
USA/WA-UW-6351/2020	260	South_King_County	2020-04-02
USA/WA-UW-6478/2020	260	North_King_County	2020-04-05
USA/WA-UW-4695/2020	260	North_King_County	2020-04-06
USA/WA-UW-6406/2020	260	South_King_County	2020-04-03
USA/WA-UW-6410/2020	260	South_King_County	2020-04-03
USA/WA-S670/2020	260	North_King_County	2020-04-08
USA/WA-UW-6698/2020	260	South_King_County	2020-04-11
