strain	cluster	location	date	variant
USA/WA-UW-21072416525/2021	170	North_King_County	2021-07-24	delta
USA/WA-S9563/2021	171	South_King_County	2021-06-26	delta
USA/WA-S9566/2021	171	South_King_County	2021-06-29	delta
USA/WA-S9564/2021	171	South_King_County	2021-06-26	delta
USA/WA-CDC-UW21062960013/2021	172	North_King_County	2021-06-29	delta
USA/WA-UW-21063069833/2021	173	North_King_County	2021-06-30	delta
USA/WA-CDC-UW21090270084/2021	174	North_King_County	2021-09-02	delta
USA/WA-CDC-LC0067288/2021	175	South_King_County	2021-05-24	delta
USA/WA-CDC-UW21060152886/2021	176	South_King_County	2021-06-01	delta
USA/WA-S9168/2021	176	South_King_County	2021-06-07	delta
USA/WA-UW-21061535743/2021	177	North_King_County	2021-06-15	delta
USA/WA-PHL-001139/2021	178	North_King_County	2021-06-21	delta
USA/WA-PHL-001138/2021	178	North_King_County	2021-06-20	delta
USA/WA-CDC-UW21061078372/2021	179	North_King_County	2021-06-10	delta
USA/WA-S15258/2021	180	North_King_County	2021-09-05	delta
USA/WA-CDC-UW21090727189/2021	180	North_King_County	2021-09-07	delta
USA/WA-UW-21080702464/2021	180	North_King_County	2021-08-07	delta
USA/WA-UW-21080757813/2021	180	North_King_County	2021-08-07	delta
USA/WA-CDC-UW21120823186/2021	181	North_King_County	2021-12-08	delta
USA/WA-CDC-UW21121380588/2021	181	North_King_County	2021-12-13	delta
USA/WA-CDC-LC0251734/2021	182	South_King_County	2021-08-22	delta
USA/WA-UW-21041963996/2021	183	North_King_County	2021-04-19	delta
USA/WA-UW-21063052306/2021	184	North_King_County	2021-06-30	delta
USA/WA-UW-21121027830/2021	185	North_King_County	2021-12-10	delta
USA/WA-UW-21072433266/2021	186	North_King_County	2021-07-24	delta
USA/WA-UW-21081806638/2021	187	North_King_County	2021-08-18	delta
USA/WA-CDC-UW21081968206/2021	187	North_King_County	2021-08-19	delta
USA/WA-UW-21090879276/2021	187	North_King_County	2021-09-08	delta
USA/WA-CDC-LC0299232/2021	187	North_King_County	2021-09-10	delta
USA/WA-CDC-UW21081987250/2021	188	South_King_County	2021-08-19	delta
USA/WA-UW-21080968608/2021	189	North_King_County	2021-08-09	delta
USA/WA-S10600/2021	190	North_King_County	2021-08-06	delta
USA/WA-UW-21081211486/2021	191	North_King_County	2021-08-12	delta
USA/WA-CDC-UW21082891649/2021	192	North_King_County	2021-08-28	delta
USA/WA-CDC-UW21082804866/2021	193	South_King_County	2021-08-28	delta
USA/WA-UW-21072245524/2021	194	North_King_County	2021-07-22	delta
USA/WA-UW-21072637622/2021	195	North_King_County	2021-07-26	delta
USA/WA-UW-21043063318/2021	196	North_King_County	2021-04-30	delta
USA/WA-UW-21043007476/2021	197	North_King_County	2021-04-30	delta
USA/WA-UW-21063023732/2021	198	North_King_County	2021-06-30	delta
USA/WA-UW-21063006143/2021	198	South_King_County	2021-06-30	delta
USA/WA-CDC-UW21062590938/2021	199	South_King_County	2021-06-25	delta
USA/WA-UW-21042649613/2021	200	North_King_County	2021-04-26	delta
