,ZIP,sum_essential,total
4353,15004,162.0,233.0
4354,15005,2606.0,4804.0
4355,15006,156.0,259.0
4356,15007,155.0,215.0
4357,15009,3645.0,6916.0
4358,15010,7173.0,12514.0
4359,15012,4169.0,7173.0
4360,15014,1270.0,1575.0
4361,15015,214.0,605.0
4362,15017,3883.0,7950.0
4363,15018,419.0,507.0
4364,15019,505.0,826.0
4365,15020,10.0,27.0
4366,15021,2231.0,3307.0
4367,15022,2768.0,4269.0
4368,15024,2169.0,4388.0
4369,15025,3937.0,7654.0
4370,15026,1139.0,1739.0
4371,15027,664.0,1115.0
4372,15028,39.0,46.0
4373,15030,398.0,568.0
4374,15031,161.0,294.0
4375,15033,1359.0,1911.0
4376,15034,510.0,759.0
4377,15035,550.0,939.0
4378,15037,2953.0,4920.0
4379,15038,33.0,233.0
4380,15042,2036.0,3722.0
4381,15043,795.0,1129.0
4382,15044,6747.0,13989.0
4383,15045,1732.0,2379.0
4384,15046,739.0,1284.0
4385,15047,20.0,74.0
4386,15049,332.0,517.0
4387,15050,851.0,1248.0
4388,15051,105.0,233.0
4389,15052,988.0,1424.0
4390,15053,9.0,29.0
4391,15054,108.0,125.0
4392,15055,322.0,530.0
4393,15056,290.0,536.0
4394,15057,4085.0,7978.0
4395,15059,1180.0,1794.0
4396,15060,330.0,394.0
4397,15061,3335.0,5842.0
4398,15062,1941.0,3234.0
4399,15063,3775.0,5682.0
4400,15064,81.0,178.0
4401,15065,3197.0,5597.0
4402,15066,3488.0,5762.0
4403,15067,750.0,1057.0
4404,15068,11515.0,18361.0
4405,15071,3140.0,6513.0
4406,15072,0.0,8.0
4407,15074,2649.0,3834.0
4408,15075,20.0,20.0
4409,15076,254.0,382.0
4410,15077,78.0,104.0
4411,15078,174.0,213.0
4412,15081,146.0,197.0
4413,15082,30.0,61.0
4414,15083,224.0,350.0
4415,15084,3108.0,4822.0
4416,15085,2457.0,3933.0
4417,15086,80.0,316.0
4418,15087,33.0,33.0
4419,15088,184.0,219.0
4420,15089,2057.0,3082.0
4421,15090,4112.0,12452.0
4422,15101,6150.0,13615.0
4423,15102,7101.0,15413.0
4424,15104,2391.0,3369.0
4425,15106,6030.0,10693.0
4426,15108,10282.0,21856.0
4427,15110,1555.0,2201.0
