,migration_direction,year-month,tree_number,total_transitions,transitions_in_time_interval,proportion_transitions_in_time_interval,mig_per_lineage,mig_per_bl,region
0,none-to-North_King_County,2020-02,4,1132,34,0.030035335689045935,2.867469879518072,42.4525483333595,North King County
0,none-to-North_King_County,2020-08,4,1132,2,0.0017667844522968198,,14.702409620826408,North King County
0,none-to-North_King_County,2020-12,4,1132,12,0.01060070671378092,1.6551724137931034,25.29120302955755,North King County
0,none-to-North_King_County,2020-07,4,1132,5,0.00441696113074205,,7.825032347326017,North King County
0,none-to-South_King_County,2020-06,4,929,7,0.007534983853606028,0.18421052631578946,5.261901359567021,South King County
0,none-to-South_King_County,2020-11,4,929,31,0.03336921420882669,2.5135135135135136,44.99205874093511,South King County
0,none-to-South_King_County,2022-01,4,929,52,0.05597416576964478,1.7528089887640448,36.693989048742345,South King County
0,none-to-South_King_County,2021-02,4,929,13,0.013993541442411194,,8.045749531076295,South King County
0,none-to-South_King_County,2020-03,4,929,24,0.02583423035522067,,22.319203088940018,South King County
0,none-to-South_King_County,2021-01,4,929,31,0.03336921420882669,2.066666666666667,28.14966359944078,South King County
0,none-to-South_King_County,2021-11,4,929,77,0.08288482238966631,,80.24521511954087,South King County
0,none-to-South_King_County,2021-03,4,929,57,0.061356297093649086,0.8507462686567164,12.509037787533144,South King County
0,none-to-South_King_County,2021-04,4,929,136,0.14639397201291712,1.8954703832752613,37.92828912979784,South King County
0,none-to-South_King_County,2020-10,4,929,10,0.010764262648008612,5.0,40.871761120872115,South King County
0,none-to-South_King_County,2021-08,4,929,47,0.05059203444564048,,68.85994695213424,South King County
0,none-to-South_King_County,2022-03,4,929,2,0.002152852529601722,,479.17962732568395,South King County
0,none-to-South_King_County,2020-05,4,929,11,0.011840688912809472,,12.078621442272015,South King County
0,none-to-South_King_County,2021-10,4,929,35,0.03767491926803014,,38.6117098069821,South King County
0,none-to-South_King_County,2021-12,4,929,68,0.07319698600645856,,15.997302384110029,South King County
0,none-to-South_King_County,2021-06,4,929,51,0.05489773950484392,1.3076923076923077,31.500191097224118,South King County
0,none-to-South_King_County,2021-09,4,929,27,0.02906350914962325,,26.14651335617523,South King County
0,none-to-South_King_County,2020-09,4,929,9,0.00968783638320775,1.8,32.781566388999764,South King County
0,none-to-South_King_County,2021-05,4,929,99,0.10656620021528525,1.584,24.8310956353984,South King County
0,none-to-South_King_County,2020-04,4,929,5,0.005382131324004306,0.35714285714285715,7.803819464400435,South King County
0,none-to-South_King_County,2021-07,4,929,54,0.0581270182992465,2.4,43.354249587631664,South King County
0,none-to-South_King_County,2022-02,4,929,32,0.03444564047362755,,22.650271981474994,South King County
0,none-to-South_King_County,2020-02,4,929,12,0.012917115177610334,1.3333333333333333,27.71468830571782,South King County
0,none-to-South_King_County,2020-08,4,929,7,0.007534983853606028,,30.06423163841703,South King County
0,none-to-South_King_County,2020-12,4,929,20,0.021528525296017224,1.5384615384615385,31.810321298506352,South King County
0,none-to-South_King_County,2020-07,4,929,5,0.005382131324004306,,6.103781712837594,South King County
0,none-to-North_King_County,2020-06,5,1130,14,0.012389380530973451,0.8235294117647058,25.71757772621142,North King County
0,none-to-North_King_County,2020-11,5,1130,21,0.018584070796460177,5.25,75.49009732395227,North King County
0,none-to-North_King_County,2022-01,5,1130,112,0.09911504424778761,,89.34248062605205,North King County
0,none-to-North_King_County,2021-02,5,1130,25,0.022123893805309734,3.8461538461538463,79.87401458569093,North King County
0,none-to-North_King_County,2020-03,5,1130,21,0.018584070796460177,0.6086956521739131,11.782178398784122,North King County
0,none-to-North_King_County,2021-01,5,1130,19,0.016814159292035398,2.235294117647059,55.12004565810935,North King County
0,none-to-North_King_County,2021-11,5,1130,69,0.061061946902654866,4.3125,69.14564784290022,North King County
0,none-to-North_King_County,2021-03,5,1130,65,0.05752212389380531,3.9393939393939394,75.97047508296173,North King County
0,none-to-North_King_County,2021-04,5,1130,124,0.10973451327433628,,77.81831606814761,North King County
0,none-to-North_King_County,2020-10,5,1130,9,0.007964601769911504,1.2857142857142858,33.85174254902823,North King County
0,none-to-North_King_County,2021-08,5,1130,70,0.061946902654867256,3.888888888888889,88.1061450162787,North King County
0,none-to-North_King_County,2022-03,5,1130,10,0.008849557522123894,3.3333333333333335,400.78182648507686,North King County
0,none-to-North_King_County,2020-05,5,1130,7,0.006194690265486726,0.3684210526315789,8.733703558558174,North King County
0,none-to-North_King_County,2021-10,5,1130,34,0.03008849557522124,1.2592592592592593,36.80731782748584,North King County
0,none-to-North_King_County,2021-12,5,1130,155,0.13716814159292035,,59.04506888035202,North King County
0,none-to-North_King_County,2021-06,5,1130,41,0.036283185840707964,,39.24032660607579,North King County
0,none-to-North_King_County,2021-09,5,1130,34,0.03008849557522124,1.4782608695652173,28.325037277697366,North King County
0,none-to-North_King_County,2020-09,5,1130,6,0.005309734513274336,,30.428504832847217,North King County
0,none-to-North_King_County,2021-05,5,1130,52,0.04601769911504425,,35.50651956356133,North King County
0,none-to-North_King_County,2020-04,5,1130,7,0.006194690265486726,0.4117647058823529,15.857853752680853,North King County
0,none-to-North_King_County,2021-07,5,1130,90,0.07964601769911504,8.181818181818182,123.8114775846386,North King County
0,none-to-North_King_County,2022-02,5,1130,94,0.0831858407079646,3.6153846153846154,69.38630670845886,North King County
0,none-to-North_King_County,2020-02,5,1130,28,0.024778761061946902,1.7872340425531916,24.40959691229854,North King County
0,none-to-North_King_County,2020-08,5,1130,9,0.007964601769911504,,34.785234626372855,North King County
0,none-to-North_King_County,2020-12,5,1130,7,0.006194690265486726,,15.770914356864212,North King County
0,none-to-North_King_County,2020-07,5,1130,4,0.0035398230088495575,,17.16694705952373,North King County
0,none-to-South_King_County,2020-06,5,931,5,0.0053705692803437165,0.17857142857142858,4.792890545764849,South King County
0,none-to-South_King_County,2020-11,5,931,26,0.027926960257787327,2.0,30.18724098864175,South King County
0,none-to-South_King_County,2022-01,5,931,44,0.047261009667024706,,34.72493019991527,South King County
0,none-to-South_King_County,2021-02,5,931,25,0.02685284640171858,1.0869565217391304,26.24648781045031,South King County
0,none-to-South_King_County,2020-03,5,931,21,0.022556390977443608,1.6153846153846154,34.62082798421584,South King County
0,none-to-South_King_County,2021-01,5,931,23,0.024704618689581095,1.0952380952380953,24.885380821526343,South King County
0,none-to-South_King_County,2021-11,5,931,68,0.07303974221267455,2.125,52.45805134689055,South King County
0,none-to-South_King_County,2021-03,5,931,69,0.07411385606874328,0.7811320754716982,14.01019456132767,South King County
0,none-to-South_King_County,2021-04,5,931,131,0.14070891514500536,1.6529968454258674,32.671374587942985,South King County
0,none-to-South_King_County,2020-10,5,931,13,0.013963480128893663,,43.20899583273349,South King County
0,none-to-South_King_County,2021-08,5,931,53,0.05692803437164339,2.5238095238095237,59.507154058246975,South King County
0,none-to-South_King_County,2022-03,5,931,2,0.0021482277121374865,,90.8948529753077,South King County
0,none-to-South_King_County,2020-05,5,931,9,0.00966702470461869,0.6,9.408179553264574,South King County
0,none-to-South_King_County,2021-10,5,931,25,0.02685284640171858,1.3888888888888888,31.61322313293269,South King County
0,none-to-South_King_County,2021-12,5,931,82,0.08807733619763695,1.0412698412698413,17.60559389209498,South King County
0,none-to-South_King_County,2021-06,5,931,48,0.05155746509129968,0.9230769230769231,23.726047444437064,South King County
0,none-to-South_King_County,2021-09,5,931,26,0.027926960257787327,1.1304347826086956,25.289477220442926,South King County
0,none-to-South_King_County,2020-09,5,931,8,0.008592910848549946,,26.762644821021283,South King County
0,none-to-South_King_County,2021-05,5,931,99,0.10633727175080558,1.4776119402985075,22.570809053885387,South King County
0,none-to-South_King_County,2020-04,5,931,7,0.007518796992481203,0.35,13.23101678412318,South King County
0,none-to-South_King_County,2021-07,5,931,58,0.06229860365198711,2.9,48.41439804675798,South King County
0,none-to-South_King_County,2022-02,5,931,34,0.036519871106337275,0.9714285714285714,26.940914528379427,South King County
0,none-to-South_King_County,2020-02,5,931,20,0.021482277121374866,13.333333333333334,78.16163169205068,South King County
0,none-to-South_King_County,2020-08,5,931,7,0.007518796992481203,1.1666666666666667,17.64155526337687,South King County
0,none-to-South_King_County,2020-12,5,931,17,0.018259935553168637,1.4166666666666667,30.847142316496416,South King County
0,none-to-South_King_County,2020-07,5,931,11,0.011815252416756176,,22.16587981960408,South King County
0,none-to-North_King_County,2020-06,6,1140,12,0.010526315789473684,0.42105263157894735,13.756482190223867,North King County
0,none-to-North_King_County,2020-11,6,1140,19,0.016666666666666666,3.8,78.9302770014737,North King County
0,none-to-North_King_County,2022-01,6,1140,132,0.11578947368421053,4.258064516129032,94.5791696199462,North King County
0,none-to-North_King_County,2021-02,6,1140,27,0.02368421052631579,2.6129032258064515,69.30265562743483,North King County
0,none-to-North_King_County,2020-03,6,1140,28,0.02456140350877193,,15.228181274378214,North King County
0,none-to-North_King_County,2021-01,6,1140,20,0.017543859649122806,,83.03722453211755,North King County
0,none-to-North_King_County,2021-11,6,1140,60,0.05263157894736842,2.5531914893617023,48.60551708304756,North King County
0,none-to-North_King_County,2021-03,6,1140,73,0.06403508771929825,3.1739130434782608,47.7046134890854,North King County
0,none-to-North_King_County,2021-04,6,1140,104,0.0912280701754386,,78.65518976039138,North King County
0,none-to-North_King_County,2020-10,6,1140,12,0.010526315789473684,1.6,31.813144166904497,North King County
0,none-to-North_King_County,2021-08,6,1140,73,0.06403508771929825,,97.6872994094671,North King County
0,none-to-North_King_County,2022-03,6,1140,5,0.0043859649122807015,,244.6486901112508,North King County
